CPU	AMD	A10-6800K APU		-	-	Arch Linux		XMR-STAK-CPU	97	Monero	Cryptonight	198	$ 0.02	$ 0.49	-	$ -8.17
CPU	INTEL	Xeon E3-1220 V2 @ 3.10GHz		-	-	Debian 8		cpuminer-multi	69	Monero	Cryptonight	169	$ 0.01	$ 0.42	-	$ -5.74
CPU	INTEL	I7-2600 @ 3.40GHz		-	-	Debian 7		cpuminer-multi	95	Monero	Cryptonight	125	$ 0.01	$ 0.31	-	$ -8.17
CPU	INTEL	INTEL I7 5960X (stock)		4	-	Windows 10 pro		xmrcgpu.com	130	Auroracoin	Scrypt	814	$ 0.00	$ 0.00	-	$ -11.61
CPU	INTEL	Core i3 3220		3292	665	Windows 10 pro	CPU	Xanemine	20	Bitcoin	SHA-256	30000000	$ 0.00	$ 0.00	1.50	$ -1.79
CPU	AMD	AMD FX-6100		-	-	Windows 10		CLAYMORE CPU MINER	95	Bitcoin	SHA-256	220	$ 0.00	$ 0.00	-	$ -8.48
CPU	INTEL	INTEL I7-6700 (3.4GHZ-4.0GHZ)		-	-	Ubuntu 14.04		CPU-MINER	65	Bitcoin	SHA-256	230	$ 0.00	$ 0.00	-	$ -5.80
CPU	INTEL	INTEL CORE I7-3930K @ 4.2 GHZ		-	-	Windows 7 x64		WOLF CPUMINER	135	Bitcoin	SHA-256	330	$ 0.00	$ 0.00	-	$ -12.05
CPU	INTEL	INTEL XEON E5-2660 V0		-	-	Windows 7 x64		XMR-STAK-CPU // Idles at 69W but at 395+H/s from the wall pulls 137W.	137	Bitcoin	SHA-256	400	$ 0.00	$ 0.00	-	$ -12.23
NVIDIA	ASUS	3090 RTX Strix		1095	10702	Windows 10	461.40	T-rex 0.19.9 cuda 11.1	328	Ravencoin	KawPow	45970000	$ 30.38	$ 911.53	0.14	$ 882.25
NVIDIA	ASUS	RTX 3070		-	-			T-Rex 0.19.5	139	Ravencoin	KawPow	29000000	$ 19.17	$ 575.04	0.21	$ 562.63
