GPU	Manufacturer	Model	Core Clock	Mem Clock	Operating System	Driver Version	Mining Software	Power Consumption	Currency	Algorithm
RIGS	NVIDIA	13x ASUS GTX 1080 Ti			Windows 10		Claymore v10	1158	Ethereum	Ethash	464000000
RIGS	PANDAMINER	B1 Plus						1250	Ethereum	Ethash	237000000
RIGS	PANDAMINER	B3 Plus						1250	Ethereum	Ethash	220000000
RIGS	SAPPHIRE	6x RX570 Sapphire Nitro+ OC		1100	1900	Windows 10		Claymore 11.7	750	Ethereum	Ethash	176000000
RIGS	NVIDIA	Rig 6 x 1070 GTX EThereum, Zcash					166	Ethereum	Ethash	172000000
RIGS	PANDAMINER	B5 Plus					800	Ethereum	Ethash	110000000
RIGS	POWERCOLOR	2x Red Devil RX 570 8GB		1112	2040	Ubuntu 16.04	AMDGPU Pro 17.50	Claymore 17.3	301	Ethereum	Ethash	58300000
RIGS	ASUS	8x Vega RX64 REFERENT		Windows 7 x64	up-to-date	Cast XMR 0.9.2 or XMRCGPU with Win-speed.com OS tuneup	1320	Monero	Cryptonight	16720
RIGS	AMD	12 x Sapphire RX580 Nitro+ intensity 105, undervolt 980		1330	2190	Windows 10	Adrenalin 18.6.1	SRBMiner	1777	Monero	Cryptonight	12615
RIGS	AMD	12 x Sapphire RX580 Nitro+		1330	2190	Windows 10	Adrenalin 18.6.1	SRBMiner	1777	Monero	Cryptonight	12615
RIGS	AMD	6X SAPPHIRE VEGA 64 BLACK EDITION		Windows 10	XMR-STAK-AMD		1250	Monero	Cryptonight	11000
RIGS	MSI	10X RX 580 ARMOR OC 8GB					1500	Monero	Cryptonight	7380
RIGS	POWERCOLOR	4X POWERCOLOR RX VEGA 64		Windows 10		XMR-STAK-AMD	720	Monero	Cryptonight	6700
RIGS	SAPPHIRE	7 X SAPPHIRE RX 570 PULSE		Ubuntu 16.04		XMR-STAK-AMD	770	Monero	Cryptonight	5930
RIGS	AMD	3X RX VEGA 56 8GB (MSI, XFX, SAPPHIRE)		Windows 10		XMR-STAK-AMD	540	Monero	Cryptonight	5506
RIGS	AMD	3X VEGA 56		Windows 10		XMR-STAK-AMD	570	Monero	Cryptonight	5420
RIGS	AMD	XMR-STAK-AMD		Windows 10		3X VEGA56	550	Monero	Cryptonight	5100
RIGS	AMD	2X RX VEGA 64 LIQUID		Windows 10		XMR-STAK-AMD	320	Monero	Cryptonight	3980
RIGS	AMD	2X VEGA 56		Windows 10		XMR-STAK-AMD	400	Monero	Cryptonight	3700
RIGS	ASUS	6X RX 570 ASUS STRIX OC 4GB		Windows 10 pro		Claymore 9.7	830	Monero	Cryptonight	3447
RIGS	AMD	RX580 8GB + RX580 4GB + RX 470 4GB		Windows 10		WOLF'S XMR MINER	300	Monero	Cryptonight	2320
RIGS	POWERCOLOR	DEVIL13 2X R9 390		Windows 7 x64		CLAYMORE'S AMD GPU MINER V12.3	500	Zcash	Equihash	820
NVIDIA	ASUS	3090 RTX Strix		1095	10702	Windows 10	461.40	T-rex 0.19.9 cuda 11.1	328	Ravencoin	KawPow	45970000
NVIDIA	ASUS	RTX 3070				T-Rex 0.19.5	139	Ravencoin	KawPow	29000000
NVIDIA	GIGABYTE	3070		Windows 10		T rex 0.20	94	Ravencoin	KawPow	25000000
NVIDIA	ASUS	3090 RTX Strix		1095	10702	Windows 10	461.40	T-rex 0.19.9 cuda 11.1	327	Ethereum	Ethash	125250000
NVIDIA	MSI	RTX 3090		1575	1100	Windows 10	456.38	nicehash	300	Ethereum	Ethash	118486000
