AMD	INTEL	2X INTEL XEON E5-2660 V1 8-CORE @ 2.2 GHZ, 20 MB L3 CACHE		-	-	Debian 8		XMR-STAK-CPU 1.3.0	95	Monero	Cryptonight	825	$ 0.07	$ 2.03	-	$ -6.45
AMD	MSI	R9 390		1040	1500	Windows 10		Claymore	258	Monero	Cryptonight	805	$ 0.07	$ 1.98	-	$ -21.05
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2 UNSTABLE		1590	945	Windows 10		Claymore v12.6	255	Zcash	Equihash	480	$ 0.06	$ 1.92	-	$ -20.85
AMD	SAPPHIRE	PULSE RX 570 4 GB DDR5		-	-	Ubuntu 17.04		XMR-STAK-AMD on simplemine.net	150	Monero	Cryptonight	773	$ 0.06	$ 1.90	-	$ -11.49
AMD	MSI	RX VEGA 56 8GB		1615	1000	Windows 10	Crimson 4.4.0 Beta 19	Claymore	300	Zcash	Equihash	470	$ 0.06	$ 1.88	-	$ -24.90
AMD	SAPPHIRE	Nitro+ RX VEGA 56 8GB HBM2		1590	800	Windows 10		Claymore v12.6	220	Zcash	Equihash	464	$ 0.06	$ 1.85	-	$ -17.79
AMD	ASUS	Strix RX 580 8GB		1360	2000	Windows 10	Crimson 17.10.3	Claymore	217	Monero	Cryptonight	720	$ 0.06	$ 1.77	-	$ -17.60
AMD	SAPPHIRE	SAPPHIRE NITRO R9 FURY		-	-	Ubuntu 16.04		CLAYMORE 11.1	260	Zcash	Equihash	420	$ 0.06	$ 1.68	-	$ -21.53
AMD	SAPPHIRE	SAPPHIRE NITRO R9 FURY		1050	1000	Ubuntu 16.04		Claymore 11.1	260	Zcash	Equihash	420	$ 0.06	$ 1.68	-	$ -21.53
AMD	GIGABYTE	GIGABYTE GTX 1070		-	-	Windows 10		EWBF'S CUDA MINER 0.2.0b	150	Zcash	Equihash	410	$ 0.05	$ 1.64	-	$ -11.75
AMD	AMD	RX 580 4GB OC -30 mV		1289	2033	Windows 10	17.9.3	Claymore	160	Monero	Cryptonight	645	$ 0.05	$ 1.59	-	$ -12.69
AMD	POWERCOLOR	RX 480 OC		1365	1750	Windows 10		Claymore	165	Monero	Cryptonight	644	$ 0.05	$ 1.59	-	$ -13.14
AMD	POWERCOLOR	RX 480 stock		1266	1750	Windows 10		Claymore	135	Monero	Cryptonight	636	$ 0.05	$ 1.57	-	$ -10.48
AMD	MSI	MSI ARMOR RADEON RX580		-	-	Windows 10		CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA	185	Monero	Cryptonight	634	$ 0.05	$ 1.56	-	$ -14.96
AMD	SAPPHIRE	RX 580 NITRO+ HYNIX 4GB		-	-	Ethos		ETHOS MONERO MINER	75	Monero	Cryptonight	629	$ 0.05	$ 1.55	-	$ -5.15
AMD	AMD	RYZEN 7 1700		-	-	Windows 10		XMR-STAK-CPU	78	Monero	Cryptonight	610	$ 0.05	$ 1.50	-	$ -5.46
AMD	ASUS	RX 570 expedition		1255	1750	Windows 10	17.7	Claymore CryptoNote 9.7 Beta	150	Monero	Cryptonight	578	$ 0.05	$ 1.42	-	$ -11.97
AMD	AMD	ATI RADEON R9 390		-	-	Windows 7 x64		CLAYMORE'S ZCASH AMD GPU MINER v11.1	285	Zcash	Equihash	334	$ 0.04	$ 1.33	-	$ -24.11
AMD	SAPPHIRE	RX 470 Nitro		1050	1850	Windows 10	Crimson 16.11.5	BBT Multiminer	150	Monero	Cryptonight	520	$ 0.04	$ 1.28	-	$ -12.11
AMD	GIGABYTE	GYGABYTE 7950		-	-	Windows 10		CLAYMORE V12.4	180	Zcash	Equihash	320	$ 0.04	$ 1.28	-	$ -14.79
AMD	SAPPHIRE	Vapor-x 7970 OC		1180	1500			Claymore	182	Monero	Cryptonight	501	$ 0.04	$ 1.23	-	$ -15.02
AMD	ASUS	R7 370 Strixx Stock		1175	1400	Windows 10		Claymore	131	Monero	Cryptonight	494	$ 0.04	$ 1.22	-	$ -10.48
AMD	XFX	7970 OC		1125	1375	Windows 10		Claymore	165	Monero	Cryptonight	493	$ 0.04	$ 1.21	-	$ -13.52
AMD	SAPPHIRE	HD 7970 Vapor-X		1050	1500	Windows 10		Claymore	178	Monero	Cryptonight	482	$ 0.04	$ 1.19	-	$ -14.70
AMD	GIGABYTE	RX 550		1250	1825	Windows 10		XMR Stak	49	Monero	Cryptonight	475	$ 0.04	$ 1.17	-	$ -3.20
