GPU	Manufacter	Model	Core Clock	Mem Clock	Operating system	Driver Version	Mining Software	Power Consumption	Currency	Algorythm	Speed	Revenue / Day	Revenue / Month	Hashrate / Watt	Revenue / Month (electricity deducted)
AMD	AMD	Rx 580 nitro+ 8go micron flashed	1240	2200	Windows 10 pro	Adrenaline 18.3.4	claymore	250	Ethereum	Ethash	31640000	$ 3.96	$ 118.65	0.13	$ 96.33
AMD	SAPPHIRE	Rx 580 Nitro+ 8gb SE	1200	2250	Ethos	Ethos 1.3.1	Claymore 11.6	107	Ethereum	Ethash	31600000	$ 3.95	$ 118.50	0.30	$ 108.95
AMD	POWERCOLOR	RX 580 RED DEVIL	1250	2225	Windows 10 pro	Crymson Aug 23	Claymore 10.5	130	Ethereum	Ethash	31500000	$ 3.94	$ 118.13	0.24	$ 106.52
AMD	MSI	R9 390	1000	1500	Windows 10		Nicehash	275	Ethereum	Ethash	31000000	$ 3.88	$ 116.25	0.11	$ 91.70
AMD	AMD	R9 390X 8G						235	Ethereum	Ethash	30508000	$ 3.81	$ 114.41	0.13	$ 93.43
AMD	MSI	R9 290x	1000	1250	Windows 10		Claymore	290	Ethereum	Ethash	30500000	$ 3.81	$ 114.38	0.11	$ 88.49
AMD	POWERCOLOR	Radeon VII	1895	1050	Windows 10	20.9.1	lolmineur	296	Ethereum	Ethash	30340000	$ 3.79	$ 113.78	0.10	$ 87.35
AMD	SAPPHIRE	RX 580 Pulse 4GB (all stable)	1310	2090	Windows 10		Claymore	150	Ethereum	Ethash	30100000	$ 3.76	$ 112.88	0.20	$ 99.49
AMD	MSI	RX 580 Gaming X+ 8GB -96 undervoltage	1375	2150	Windows 10	Crimson 17.5.2	Claymore	150	Ethereum	Ethash	30058000	$ 3.76	$ 112.72	0.20	$ 99.33
AMD	XFX	Rx 580 8G	1130	2125	Ubuntu		LOLminer	90	Ethereum	Ethash	30000000	$ 3.75	$ 112.50	0.33	$ 104.46
AMD	AMD	AMD R9 Nano 4gb	1000	500	Windows 10		Claymore	175	Ethereum	Ethash	30000000	$ 3.75	$ 112.50	0.17	$ 96.88
AMD	SAPPHIRE	RX 580 Nitro 4gb (Undervoltage to -100mVï»¿)	2050	1140	Windows 10		Claymore	150	Ethereum	Ethash	29400000	$ 3.68	$ 110.25	0.20	$ 96.86
AMD	MSI	RX 570 GAMING X 4GB TWIN FROZR VI	1165	2055	Windows 10	Crimson Relive 17.5.1	Claymore	150	Ethereum	Ethash	29000000	$ 3.63	$ 108.75	0.19	$ 95.36
AMD	MSI	MSI RX 480 4GB	1316	2350	Windows 10		Claymore	150	Ethereum	Ethash	29000000	$ 3.63	$ 108.75	0.19	$ 95.36
AMD	MSI	MSI RX 480 8GB	1120	2000	Windows 10		Claymore	150	Ethereum	Ethash	29000000	$ 3.63	$ 108.75	0.19	$ 95.36
AMD	SAPPHIRE	Sapphire NITRO RX 480 8GB	1202	2000	Windows 10		Claymore	150	Ethereum	Ethash	29000000	$ 3.63	$ 108.75	0.19	$ 95.36
AMD	SAPPHIRE	Sapphire NITRO+ RX 470 8GB	1121	2000	Windows 10		Nicehash	175	Ethereum	Ethash	29000000	$ 3.63	$ 108.75	0.17	$ 93.13
AMD	MSI	RX 570 4GB Bios modded	1240	2035	Windows 10	Crimson 17.5.1	Claymore	150	Ethereum	Ethash	28900000	$ 3.61	$ 108.38	0.19	$ 94.99
AMD	POWERCOLOR	RX 570 4GB Bios modded	110	2020	Windows 10	Crimson 17.1.1	Claymore	160	Ethereum	Ethash	28756000	$ 3.59	$ 107.84	0.18	$ 93.56
AMD	ASUS	RX 570 ROG Strix 4Gb Gaming OC Edition GDDR5	1112	2000	Windows 10	17.5.1	Claymore	150	Ethereum	Ethash	28500000	$ 3.56	$ 106.88	0.19	$ 93.49
AMD	ASUS	Sapphire R9 390X 8G	1050	1500	Windows 7 x64	1.2.3	Claymore v9.6	275	Ethereum	Ethash	28500000	$ 3.56	$ 106.88	0.10	$ 82.33
AMD	POWERCOLOR	RX 480 8 gb	1120	2000	Windows 10		Claymore	150	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.19	$ 91.61
AMD	MSI	MSI RX 470 8GB	926	1650	Windows 10		Claymore	120	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.23	$ 94.29
AMD	ASUS	ASUS RX 470 4GB	926	1650	Windows 10		Nicehash	130	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.22	$ 93.39
AMD	MSI	MSI ARMOR RX570 4GB	1268	1750	Windows 10		Claymore	120	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.23	$ 94.29
AMD	SAPPHIRE	Sapphire Nitro+ OC RX 470 4GB	1143	1750	Windows 10		Nicehash	175	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.16	$ 89.38
AMD	MSI	MSI ARMOR RX 470 4GB	926	1206	Windows 10		Claymore	105	Ethereum	Ethash	28000000	$ 3.50	$ 105.00	0.27	$ 95.63
AMD	AMD	R9 Fury X						298	Ethereum	Ethash	27911000	$ 3.49	$ 104.67		$ 78.06
AMD	SAPPHIRE	RX 570 Nitro + 4 GB Bios modded			Windows 7		CLAYMORE 9.3	160	Ethereum	Ethash	27500000	$ 3.44	$ 103.13	0.17	$ 88.85
