Manufacturer,Model,Graphics Processor,Core Clock [MHz],Boost Clock [MHz],Memory Type,Memory Size [GB],Memory Bus Width [bit],Memory Clock [MHz],Power Consumption Idle [W],Power Consumption MAX [W],Noise Idle [dBA],Noise Gaming [dBA],Temperature Max [°C]
NVIDIA,GeForce GTX 1050,GP107,1354,1455,GDDR5,2,128,1752,,56.66,,,63.0
NVIDIA,GeForce GTX 1050 Ti,GP107,1291,1392,GDDR5,4,128,1752,,68.16,,,63.0
NVIDIA,GeForce GTX 1060 3GB,GP106,1506,1708,GDDR5,3,192,2002,,117.87,,,73.0
NVIDIA,GeForce GTX 1060 3GB FE,GP106,1506,1911,GDDR5,3,192,2002,9.29,124.52,,,
NVIDIA,GeForce GTX 1060 6GB FE,GP106,1506,1506-1911,GDDR5,6,,2002,6.44,124.68,,,
NVIDIA,GeForce GTX 1070 FE,GP104,1506,1683,GDDR5,8,256,2002,8.39,159.06,,,
NVIDIA,GeForce GTX 1070 Ti FE,GP104,1607,1683,GDDR5,8,256,2002,,192.85,,,76.0
NVIDIA,GeForce GTX 1080 FE,GP104,1607,1733,GDDR5X,8,256,1251,7.96,203.29,,,
NVIDIA,GeForce GTX 1080 Ti FE,GP102,1481,1582,GDDR5X,11,352,1376,12.84,271.32,,,
NVIDIA,GeForce GTX 1650 4GB,TU117,1485,1665,GDDR5,4,128,2001,8.03,81.37,,,
NVIDIA,GeForce GTX 1660 6GB,TU116,1530,1785,GDDR5,6,192,2001,8.49,134.77,,,
NVIDIA,GeForce GTX 780,GK110,863,900,GDDR5,3,384,1502,,223.10,,,62.0
NVIDIA,GeForce GTX 970,GM204,1050,1178,GDDR5,4,256,1753,,171.92,,,76.0
NVIDIA,GeForce GTX 980,GM204,1127,1216,GDDR5,4,256,1753,,191.99,,,78.0
NVIDIA,GeForce GTX 980 Ti,GM200,1000,1076,GDDR5,6,,7012,,251.42,,,85.0
NVIDIA,GeForce RTX 2060 6GB,TU106,1365,1680,GDDR6,6,192,1750,10.42,166.67,,,
NVIDIA,GeForce RTX 2060 FE,TU106,1530,1530-1890,GDDR6,6,,1750,10.72,170.71,,,
NVIDIA,GeForce RTX 2060 Super 8GB,TU106,1470,1670,GDDR6,8,256,1750,9.66,194.34,,,
NVIDIA,GeForce RTX 2060 Super FE ,TU106,1470,1650,GDDR6,8,256,1750,,192.60,,,76.0
NVIDIA,GeForce RTX 2070 8GB,TU106,1410,1620,GDDR6,8,256,1750,10.84,201.24,,,
NVIDIA,GeForce RTX 2070 FE ,TU104,1410,1710,GDDR6,8,,1750,,226.68,,,73.0
NVIDIA,GeForce RTX 2070 Super 8GB,TU104,1605,1770,GDDR5,8,256,1750,10.96,228.07,,,
NVIDIA,GeForce RTX 2070 Super FE ,TU104,1605,1770,GDDR6,8,256,1750,,226.68,,,73.0
NVIDIA,GeForce RTX 2080,TU104,1515,1710,GDDR6,8,256,1750,12.20,253.05,,,
NVIDIA,GeForce RTX 2080 FE ,TU104,1515,1710,GDDR6,8,256,1750,,234.16,,,73.0
NVIDIA,GeForce RTX 2080 Super 8GB,TU104,1650,1815,GDDR6,8,256,1937,11.23,264.54,,,
NVIDIA,GeForce RTX 2080 Super FE ,TU104,1650,1815,GDDR6,8,256,1937,,263.68,,,74.0
NVIDIA,GeForce RTX 2080 Ti Founders Edition 11GB,TU102,1350,1545,GDDR6,11,352,1750,25.40,283.51,,,
NVIDIA,RTX 3080 FE,GA102,1440,1965,GDDR6X,10,320,1188,32.85,349.89,,,73.0
NVIDIA,TITAN RTX,TU102,1335,1770,GDDR6,24,384,1750,,303.63,,,
NVIDIA,Titan X Pascal,GP102,1418,1531,GDDR5X,12,384,1251,11.08,262.74,,,
PALIT,GeForce RTX 2070 GameRock 8GB,TU106,1410,1680,GDDR6,8,256,1750,15.45,226.29,,,
PALIT,GeForce RTX 2080 Gamerock Premium,TU104,1515,1800,GDDR6,8,256,1750,19.79,268.44,,,
POWERCOLOR,Red Dragon RX VEGA 56 8GB,Vega 10,1177,1478,HBM2,8,2048,800,,271.74,,,63.0
SAPPHIRE,PULSE RX 5500 XT 4G,Navi 14,1607,1845,GDDR6,4,128,1750,,170.40,,,73.0
SAPPHIRE,PULSE RX 5500 XT 8G,Navi 14,1607,1845,GDDR6,8,128,1750,,138.93,,,64.0
SAPPHIRE,PULSE RX 5600 XT 6G,Navi 10,1130,1750,GDDR6,6,192,1500,,173.78,,,65.0
SAPPHIRE,Radeon R9 390 Nitro 8GB,Grenada,1010,,GDDR5,8,512,1500,,281.74,,,80.0
XFX,Radeon RX 590 Fatboy 8 GB,Polaris 30,1425,1580,GDDR5,8,256,2000,15.13,249.63,,,
ZOTAC,GeForce GTX 1650 Super Twin,TU116,1530,1725,GDDR5,4,128,1500,,107.92,,,71.0
ZOTAC,GeForce GTX 1660 AMP 6GB,TU116,1530,1845,GDDR5,6,192,2001,,130.85,,,62.0
ZOTAC,GeForce RTX 2070 Mini OC,TU106,1365,1860,GDDR6,8,256,1750,14.83,178.45,,,
ZOTAC,GeForce RTX 2080 AMP 8GB,TU104,1515,1830,GDDR6,8,256,1750,13.40,238.62,,,
